Old Key,New Key,Value,Suggested Key,Suggested Key Value
title,MISSING_IN_NEW_JSON,DAMAP,,
layout.menu.home,sidebar.navigation.home,Home,,Home
layout.menu.plans,sidebar.navigation.dmps,DMPs,,DMPs
layout.menu.admin,sidebar.navigation.admin,Admin,,Admin
layout.menu.greeting,MISSING_IN_NEW_JSON,Hi,,
layout.menu.titleDashboard,admin.dashboard.title, let's get started!,, let's get started!
layout.menu.section,dashboard.home.section-intro,"Welcome to DAMAP, a service that helps you create a Data Management Plan (DMP) for your project.",,"Welcome to DAMAP, a service that helps you create a Data Management Plan (DMP) for your project."
layout.menu.adminSection,admin.dashboard.section-intro,Welcome to the DAMAP Admin section.,,Welcome to the DAMAP Admin section.
layout.menu.mobile.open,MISSING_IN_NEW_JSON,Open page navigation,,
layout.menu.mobile.close,sidebar.header.button.hint,Close page navigation,,Close page navigation
layout.menu.infoDashboard,MISSING_IN_NEW_JSON,You can create a new DMP by clicking the 'Create New DMP' button,,
layout.logout,MISSING_IN_NEW_JSON,Logout,,
layout.version,COULD_NOT_BE_AUTO_REPLACE,Version,sidebar.footer.version,Version(3)
layout.logo.text,MISSING_IN_NEW_JSON,Go back to main page,,
layout.logo.link,COULD_NOT_BE_AUTO_REPLACE,https://www.damap.org,info.how-to-create.tool.link,https://www.damap.org
layout.dataprotection.text,sidebar.footer.data-protection-declaration,Data Protection Declaration,,Data Protection Declaration
layout.dataprotection.link,COULD_NOT_BE_AUTO_REPLACE,#,sidebar.footer.data-protection-declaration.link,#(3)
layout.impressum.text,sidebar.footer.impressum,Impressum,,Impressum
layout.impressum.link,COULD_NOT_BE_AUTO_REPLACE,#,sidebar.footer.impressum.link,#(3)
layout.termsandconditions.text,sidebar.footer.terms-and-conditions,Terms and Conditions,,Terms and Conditions
layout.termsandconditions.link,COULD_NOT_BE_AUTO_REPLACE,#,sidebar.footer.terms-and-conditions.link,#(3)
layout.icon.dataAlert,sidebar.footer.collapsed.hint,Expand the menu to access legal information,,Expand the menu to access legal information
layout.gdpr,sidebar.footer.gdpr-info,GDPR Info,,GDPR Info
env.title,MISSING_IN_NEW_JSON,Test environment,,
env.text,MISSING_IN_NEW_JSON,This application instance is for development and testing purposes only. Content may be deleted at any point in time without prior notification.,,
heading,consent-popup.title,Data Protection Declaration of Consent DAMAP,,Data Protection Declaration of Consent DAMAP
information.text,consent-popup.personalData.processingAgreement,I agree that the following personal data will be processed within the framework of the DAMAP tool:,,I agree that the following personal data will be processed within the framework of the DAMAP tool:
information.purpose.registration.label,consent-popup.personalData.registrationLabel,for registration,,for registration
information.purpose.registration.name,consent-popup.personalData.fullName,first and last name,,first and last name
information.purpose.registration.mail,COULD_NOT_BE_AUTO_REPLACE,e-mail address,consent-popup.personalData.email,e-mail address(2)
information.purpose.registration.id,consent-popup.personalData.institutionalId,institutional-ID (if available),,institutional-ID (if available)
duration,consent-popup.dataRetention.duration,"Personal data that is collected for registration is generally only stored for the duration of the service made available, unless a longer retention period is mandated by statutory regulations.",,"Personal data that is collected for registration is generally only stored for the duration of the service made available, unless a longer retention period is mandated by statutory regulations."
agreement,consent-popup.agreement.gdprNotice,"I hereby declare that I have been informed about the information obligations (right to information / correction / deletion, etc.) according to article 12 - 21 DSGVO and have taken note of them.",,"I hereby declare that I have been informed about the information obligations (right to information / correction / deletion, etc.) according to article 12 - 21 DSGVO and have taken note of them."
withdrawal,consent-popup.withdrawal.notice,I hereby declare that this declaration of consent is made on a voluntary basis. I may informally withdraw my consent at any time with effect for the future without any adverse consequences.,,I hereby declare that this declaration of consent is made on a voluntary basis. I may informally withdraw my consent at any time with effect for the future without any adverse consequences.
accept,consent-popup.button.accept,Accept,,Accept
landing-page.title,landing.title,DAMAP - a tool for machine actionable DMPs,,DAMAP - a tool for machine actionable DMPs
landing-page.start,landing.start,Start now,,Start now
landing-page.servers-down-retrying,landing.servers-down-retrying,Failed to establish connection to our servers. Retrying...,,Failed to establish connection to our servers. Retrying...
landing-page.servers-down,landing.servers-down,Our servers seem to be down at the moment. Please try again later.,,Our servers seem to be down at the moment. Please try again later.
